Name;URL;Value;Metros;Habitaciones;Bañoss;Localidad
Apartamento En Arriendo;https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-versalles-no-1-medellin-3715222;$0;60.0 m2;Habit. 3;Baños 1;Medellín, Manrique, Versalles No.1
Apartamento En Arriendo;https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-medellin-medellin-3584344;$160.000;48.0 m2;Habit. 3;Baños 1;Medellín, Medellín
Apartamento En Arriendo;https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-altavista-medellin-3649244;$250.000;60.0 m2;Habit. 2;Baños 2;Medellín, Belén, Altavista
Apartamento En Arriendo;https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-san-german-medellin-3587047;$450.000;10.0 m2;Habit. 1;Baños 1;Medellín, Robledo, San German
Apartamento En Arriendo;https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-aranjuez-medellin-3674974;$500.000;16.0 m2;Habit. 1;Baños 1;Medellín, Aranjuez
Apartamento En Arriendo;https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-versalles-no-1-medellin-3730998;$500.000;30.0 m2;Habit. 1;Baños 1;Medellín, Manrique, Versalles No.1
Apartamento En Arriendo;https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-santo-domingo-savio-no-1-medellin-2986165;$530.000;23.0 m2;Habit. 1;Baños 0;Medellín, Popular, Santo Domingo Savio No.1
Apartamento En Arriendo;https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-castilla-medellin-3207847;$600.000;50.0 m2;Habit. 2;Baños 1;Medellín, Castilla
Apartamento En Arriendo;https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-la-candelaria-medellin-3376439;$690.000;25.0 m2;Habit. 1;Baños 1;Medellín, La Candelaria
Apartamento En Arriendo;https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-castilla-medellin-2928112;$700.000;45.0 m2;Habit. 2;Baños 0;Medellín, Castilla
Apartamento En Arriendo;https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-plaza-de-ferias-medellin-2909358;$700.000;50.0 m2;Habit. 2;Baños 0;Medellín, Castilla, Plaza De Ferias
Apartamento En Arriendo;https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-plaza-de-ferias-medellin-2941353;$700.000;45.0 m2;Habit. 2;Baños 0;Medellín, Castilla, Plaza De Ferias
Apartamento En Arriendo;https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-san-antonio-de-prado-medellin-3700296;$700.000;35.0 m2;Habit. 1;Baños 1;Medellín, San Antonio De Prado
Apartamento En Arriendo;https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-campo-valdes-no-2-medellin-3726738;$700.000;30.0 m2;Habit. 1;Baños 1;Medellín, Manrique, Campo Valdes No. 2
Apartamento En Arriendo;https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-la-esperanza-medellin-3234426;$750.000;45.0 m2;Habit. 2;Baños 1;Medellín, Doce De Octubre, La Esperanza
Apartamento En Arriendo;https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-berlin-medellin-3531778;$750.000;26.0 m2;Habit. 2;Baños 1;Medellín, Aranjuez, Berlin
Apartamento En Arriendo;https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-medellin-medellin-3723232;$750.000;55.0 m2;Habit. 3;Baños 2;Medellín, Medellín
Apartamento En Arriendo;https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-medellin-medellin-2617580;$750.000;60.0 m2;Habit. 2;Baños 0;Medellín, Doce De Octubre
Apartamento En Arriendo;https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-girardot-medellin-3207592;$750.000;40.0 m2;Habit. 1;Baños 1;Medellín, Castilla, Girardot
Apartamento En Arriendo;https://www.ciencuadras.com/inmueble/apartamento-en-arriendo-en-prado-medellin-3629295;$780.000;38.0 m2;Habit. 2;Baños 1;Medellín, La Candelaria, Prado
